holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume,Time
None,288.28,0,0,40,Clouds,scattered clouds,02-10-2012 09:00,5545, 09:00
None,289.36,0,0,75,Clouds,broken clouds,02-10-2012 10:00,4516,10:00
None,289.58,0,0,90,Clouds,overcast clouds,02-10-2012 11:00,4767,11:00
None,290.13,0,0,90,Clouds,overcast clouds,02-10-2012 12:00,5026,12:00
None,291.14,0,0,75,Clouds,broken clouds,02-10-2012 13:00,4918,13:00
None,291.72,0,0,1,Clear,sky is clear,02-10-2012 14:00,5181,14:00
None,293.17,0,0,1,Clear,sky is clear,02-10-2012 15:00,5584,15:00
None,293.86,0,0,1,Clear,sky is clear,02-10-2012 16:00,6015,16:00
None,294.14,0,0,20,Clouds,few clouds,02-10-2012 17:00,5791,17:00
None,293.1,0,0,20,Clouds,few clouds,02-10-2012 18:00,4770,18:00
None,290.97,0,0,20,Clouds,few clouds,02-10-2012 19:00,3539,19:00
None,289.38,0,0,1,Clear,sky is clear,02-10-2012 20:00,2784,20:00
None,288.61,0,0,1,Clear,sky is clear,02-10-2012 21:00,2361,21:00
None,287.16,0,0,1,Clear,sky is clear,02-10-2012 22:00,1529,22:00
None,285.45,0,0,1,Clear,sky is clear,02-10-2012 23:00,963,23:00
None,284.63,0,0,1,Clear,sky is clear,03-10-2012 00:00,506,00:00
None,283.47,0,0,1,Clear,sky is clear,03-10-2012 01:00,321,01:00
None,281.18,0,0,1,Clear,sky is clear,03-10-2012 02:00,273,02:00
None,281.09,0,0,1,Clear,sky is clear,03-10-2012 03:00,367,03:00
None,279.53,0,0,1,Clear,sky is clear,03-10-2012 04:00,814,04:00
None,278.62,0,0,1,Clear,sky is clear,03-10-2012 05:00,2718,05:00
None,278.23,0,0,1,Clear,sky is clear,03-10-2012 06:00,5673,06:00
None,278.12,0,0,1,Clear,sky is clear,03-10-2012 08:00,6511,08:00
None,282.48,0,0,1,Clear,sky is clear,03-10-2012 09:00,5471,09:00
None,291.97,0,0,1,Clear,sky is clear,03-10-2012 12:00,5097,12:00
None,293.23,0,0,1,Clear,sky is clear,03-10-2012 13:00,4887,13:00
None,294.31,0,0,1,Clear,sky is clear,03-10-2012 14:00,5337,14:00
None,295.17,0,0,1,Clear,sky is clear,03-10-2012 15:00,5692,15:00
None,295.13,0,0,1,Clear,sky is clear,03-10-2012 16:00,6137,16:00
None,293.66,0,0,20,Clouds,few clouds,03-10-2012 18:00,4623,18:00
None,290.65,0,0,20,Clouds,few clouds,03-10-2012 19:00,3591,19:00
None,288.19,0,0,20,Clouds,few clouds,03-10-2012 20:00,2898,20:00
None,287.1,0,0,1,Clear,sky is clear,03-10-2012 21:00,2637,21:00
None,286.25,0,0,1,Clear,sky is clear,03-10-2012 22:00,1777,22:00
None,285.26,0,0,1,Clear,sky is clear,03-10-2012 23:00,1015,23:00
None,284.55,0,0,1,Clear,sky is clear,04-10-2012 00:00,598,00:00
None,283.47,0,0,1,Clear,sky is clear,04-10-2012 01:00,369,01:00
None,283.17,0,0,1,Clear,sky is clear,04-10-2012 02:00,312,02:00
None,282.04,0,0,1,Clear,sky is clear,04-10-2012 03:00,367,03:00
None,281.69,0,0,1,Clear,sky is clear,04-10-2012 04:00,835,04:00
None,281.32,0,0,1,Clear,sky is clear,04-10-2012 05:00,2726,05:00
None,280.74,0,0,1,Clear,sky is clear,04-10-2012 06:00,5689,06:00
None,280.57,0,0,1,Clear,sky is clear,04-10-2012 07:00,6990,07:00
None,281.86,0,0,1,Clear,sky is clear,04-10-2012 08:00,5985,08:00
None,284.98,0,0,1,Clear,sky is clear,04-10-2012 09:00,5309,09:00
None,289.18,0,0,1,Clear,sky is clear,04-10-2012 10:00,4603,10:00
None,291.55,0,0,1,Clear,sky is clear,04-10-2012 11:00,4884,11:00
None,294.97,0,0,1,Clear,sky is clear,04-10-2012 12:00,5104,12:00
None,296.38,0,0,1,Clear,sky is clear,04-10-2012 13:00,5178,13:00
None,297.32,0,0,1,Clear,sky is clear,04-10-2012 14:00,5501,14:00
None,298.17,0,0,1,Clear,sky is clear,04-10-2012 15:00,5713,15:00
None,298.06,0,0,20,Clouds,few clouds,04-10-2012 16:00,6292,16:00
None,297.67,0,0,20,Clouds,few clouds,04-10-2012 17:00,6057,17:00
None,296.36,0,0,40,Clouds,scattered clouds,04-10-2012 18:00,4907,18:00
None,293.85,0,0,40,Clouds,scattered clouds,04-10-2012 19:00,3503,19:00
None,292.43,0,0,40,Clouds,scattered clouds,04-10-2012 20:00,3037,20:00
None,291.77,0,0,75,Clouds,broken clouds,04-10-2012 21:00,2822,21:00
None,291.36,0,0,75,Clouds,broken clouds,04-10-2012 22:00,1992,22:00
None,291.12,0,0,75,Clouds,broken clouds,04-10-2012 23:00,1166,23:00
None,290.63,0,0,75,Clouds,broken clouds,05-10-2012 00:00,627,00:00
None,290.46,0,0,40,Clouds,scattered clouds,05-10-2012 01:00,388,01:00
None,289.26,0,0,0,Clear,sky is clear,05-10-2012 03:00,368,03:00
None,283.21,0,0,75,Clouds,broken clouds,05-10-2012 05:00,2489,05:00
None,282.24,0,0,90,Clouds,overcast clouds,05-10-2012 06:00,5537,06:00
None,281.69,0,0,90,Clouds,overcast clouds,05-10-2012 07:00,6628,07:00
None,280.57,0,0,90,Clouds,overcast clouds,05-10-2012 08:00,5534,08:00
None,280.02,0,0,75,Clouds,broken clouds,05-10-2012 09:00,5403,09:00
None,280.11,0,0,75,Clouds,broken clouds,05-10-2012 10:00,4770,10:00
None,280,0,0,90,Clouds,overcast clouds,05-10-2012 11:00,5217,11:00
